EA,SI,cA
0.01,0,0.1
0.013257,0,0.1
0.017575,0,0.1
0.0233,0,0.1
0.030888,0,0.1
0.040949,0,0.1
0.054287,0,0.1
0.071969,0,0.1
0.09541,0,0.1
0.12649,0,0.1
0.16768,0,0.1
0.2223,0,0.1
0.29471,0,0.1
0.39069,0,0.1
0.51795,0,0.1
0.68665,0,0.1
0.9103,0,0.1
1.2068,0,0.1
1.5999,0,0.1
2.121,0,0.1
2.8118,0,0.1
3.7276,0,0.1
4.9417,1.1096e-12,0.1
6.5513,1.7895e-05,0.1
8.6851,0.14343,0.1
11.514,1.8272,0.1
15.264,2,0.1
20.236,2,0.1
26.827,2,0.1
35.565,2,0.1
47.149,2,0.1
62.506,2,0.1
82.864,2,0.1
109.85,2,0.1
145.63,2,0.1
193.07,2,0.1
255.95,2,0.1
339.32,2,0.1
449.84,2,0.1
596.36,2,0.1
790.6,2,0.1
1048.1,2,0.1
1389.5,2,0.1
1842.1,2,0.1
2442.1,2,0.1
3237.5,2,0.1
4291.9,2,0.1
5689.9,2,0.1
7543.1,2,0.1
10000,2,0.1
0.01,0,0.5
0.013257,0,0.5
0.017575,0,0.5
0.0233,0,0.5
0.030888,0,0.5
0.040949,0,0.5
0.054287,0,0.5
0.071969,0,0.5
0.09541,0,0.5
0.12649,0,0.5
0.16768,0,0.5
0.2223,0,0.5
0.29471,1.3989e-14,0.5
0.39069,1.2459e-12,0.5
0.51795,7.8572e-11,0.5
0.68665,3.4958e-09,0.5
0.9103,1.0988e-07,0.5
1.2068,2.4445e-06,0.5
1.5999,3.8578e-05,0.5
2.121,0.00043323,0.5
2.8118,0.0034768,0.5
3.7276,0.02006,0.5
4.9417,0.083923,0.5
6.5513,0.25785,0.5
8.6851,0.59291,0.5
11.514,1.0496,0.5
15.264,1.4902,0.5
20.236,1.7909,0.5
26.827,1.9361,0.5
35.565,1.9857,0.5
47.149,1.9977,0.5
62.506,1.9997,0.5
82.864,2,0.5
109.85,2,0.5
145.63,2,0.5
193.07,2,0.5
255.95,2,0.5
339.32,2,0.5
449.84,2,0.5
596.36,2,0.5
790.6,2,0.5
1048.1,2,0.5
1389.5,2,0.5
1842.1,2,0.5
2442.1,2,0.5
3237.5,2,0.5
4291.9,2,0.5
5689.9,2,0.5
7543.1,2,0.5
10000,2,0.5
0.01,0,1
0.013257,0,1
0.017575,8.8818e-16,1
0.0233,1.3989e-14,1
0.030888,1.8563e-13,1
0.040949,2.2178e-12,1
0.054287,2.3666e-11,1
0.071969,2.257e-10,1
0.09541,1.924e-09,1
0.12649,1.4665e-08,1
0.16768,9.9968e-08,1
0.2223,6.0968e-07,1
0.29471,3.3279e-06,1
0.39069,1.6265e-05,1
0.51795,7.1224e-05,1
0.68665,0.0002796,1
0.9103,0.00098475,1
1.2068,0.0031146,1
1.5999,0.0088567,1
2.121,0.022674,1
2.8118,0.052352,1
3.7276,0.10925,1
4.9417,0.20662,1
6.5513,0.35535,1
8.6851,0.55814,1
11.514,0.80495,1
15.264,1.0731,1
20.236,1.3331,1
26.827,1.5581,1
35.565,1.732,1
47.149,1.8519,1
62.506,1.9257,1
82.864,1.9663,1
109.85,1.9862,1
145.63,1.9949,1
193.07,1.9983,1
255.95,1.9995,1
339.32,1.9999,1
449.84,2,1
596.36,2,1
790.6,2,1
1048.1,2,1
1389.5,2,1
1842.1,2,1
2442.1,2,1
3237.5,2,1
4291.9,2,1
5689.9,2,1
7543.1,2,1
10000,2,1
0.01,2.251e-06,5
0.013257,4.8016e-06,5
0.017575,1.0005e-05,5
0.0233,2.0363e-05,5
0.030888,4.049e-05,5
0.040949,7.8654e-05,5
0.054287,0.00014928,5
0.071969,0.00027684,5
0.09541,0.00050168,5
0.12649,0.00088846,5
0.16768,0.0015378,5
0.2223,0.0026018,5
0.29471,0.0043031,5
0.39069,0.0069581,5
0.51795,0.011002,5
0.68665,0.017013,5
0.9103,0.025732,5
1.2068,0.038076,5
1.5999,0.055133,5
2.121,0.078133,5
2.8118,0.1084,5
3.7276,0.14728,5
4.9417,0.19601,5
6.5513,0.25562,5
8.6851,0.32678,5
11.514,0.40971,5
15.264,0.504,5
20.236,0.60865,5
26.827,0.72199,5
35.565,0.8418,5
47.149,0.96539,5
62.506,1.0898,5
82.864,1.2121,5
109.85,1.3293,5
145.63,1.439,5
193.07,1.5393,5
255.95,1.6286,5
339.32,1.7063,5
449.84,1.7723,5
596.36,1.8269,5
790.6,1.8711,5
1048.1,1.906,5
1389.5,1.9329,5
1842.1,1.9531,5
2442.1,1.9679,5
3237.5,1.9785,5
4291.9,1.9859,5
5689.9,1.991,5
7543.1,1.9944,5
10000,1.9965,5
0.01,1.7898e-05,10
0.013257,3.2052e-05,10
0.017575,5.6462e-05,10
0.0233,9.784e-05,10
0.030888,0.00016679,10
0.040949,0.00027971,10
0.054287,0.00046151,10
0.071969,0.0007492,10
0.09541,0.0011967,10
0.12649,0.0018809,10
0.16768,0.0029091,10
0.2223,0.0044281,10
0.29471,0.0066338,10
0.39069,0.0097818,10
0.51795,0.014198,10
0.68665,0.020289,10
0.9103,0.028545,10
1.2068,0.039545,10
1.5999,0.053951,10
2.121,0.072497,10
2.8118,0.095965,10
3.7276,0.12515,10
4.9417,0.16084,10
6.5513,0.20373,10
8.6851,0.25438,10
11.514,0.31321,10
15.264,0.38034,10
20.236,0.45565,10
26.827,0.53869,10
35.565,0.62871,10
47.149,0.72461,10
62.506,0.82505,10
82.864,0.92844,10
109.85,1.033,10
145.63,1.1371,10
193.07,1.2388,10
255.95,1.3366,10
339.32,1.4289,10
449.84,1.5146,10
596.36,1.5928,10
790.6,1.663,10
1048.1,1.7249,10
1389.5,1.7785,10
1842.1,1.8242,10
2442.1,1.8625,10
3237.5,1.894,10
4291.9,1.9195,10
5689.9,1.9397,10
7543.1,1.9556,10
10000,1.9678,10
