SI,PD,TDCH,cA
2,200,1,0.1
2,400,2,0.1
1.9954,599.96,3,0.1
0.96022,768.18,4,0.1
0.022203,799.61,5,0.1
3.8779e-05,800,6,0.1
1.5139e-08,800,7,0.1
2.5848e-12,800,8,0.1
2.2204e-16,800,9,0.1
0,800,10,0.1
0,800,11,0.1
0,800,12,0.1
0,800,13,0.1
0,800,14,0.1
0,800,15,0.1
0,800,16,0.1
0,800,17,0.1
0,800,18,0.1
0,800,19,0.1
0,800,20,0.1
0,800,21,0.1
0,800,22,0.1
0,800,23,0.1
0,800,24,0.1
0,800,25,0.1
0,800,26,0.1
0,800,27,0.1
0,800,28,0.1
0,800,29,0.1
0,800,30,0.1
0,800,31,0.1
0,800,32,0.1
0,800,33,0.1
0,800,34,0.1
0,800,35,0.1
0,800,36,0.1
0,800,37,0.1
0,800,38,0.1
0,800,39,0.1
0,800,40,0.1
0,800,41,0.1
0,800,42,0.1
0,800,43,0.1
0,800,44,0.1
0,800,45,0.1
0,800,46,0.1
0,800,47,0.1
0,800,48,0.1
0,800,49,0.1
0,800,50,0.1
1.993,199.91,1,0.5
1.7817,391.73,2,0.5
1.2907,546.41,3,0.5
0.81328,650.63,4,0.5
0.47859,713.98,5,0.5
0.27372,750.7,6,0.5
0.15536,771.6,7,0.5
0.088467,783.47,8,0.5
0.050834,790.25,9,0.5
0.029561,794.17,10,0.5
0.017422,796.47,11,0.5
0.010411,797.83,12,0.5
0.006308,798.65,13,0.5
0.0038744,799.14,14,0.5
0.0024112,799.45,15,0.5
0.0015197,799.65,16,0.5
0.00096952,799.77,17,0.5
0.00062569,799.85,18,0.5
0.00040826,799.9,19,0.5
0.0002692,799.93,20,0.5
0.00017928,799.95,21,0.5
0.00012054,799.97,22,0.5
8.1776e-05,799.98,23,0.5
5.596e-05,799.98,24,0.5
3.8609e-05,799.99,25,0.5
2.6848e-05,799.99,26,0.5
1.881e-05,799.99,27,0.5
1.3273e-05,800,28,0.5
9.4301e-06,800,29,0.5
6.744e-06,800,30,0.5
4.8534e-06,800,31,0.5
3.514e-06,800,32,0.5
2.5589e-06,800,33,0.5
1.8738e-06,800,34,0.5
1.3795e-06,800,35,0.5
1.0209e-06,800,36,0.5
7.5919e-07,800,37,0.5
5.6729e-07,800,38,0.5
4.2586e-07,800,39,0.5
3.2111e-07,800,40,0.5
2.4317e-07,800,41,0.5
1.8491e-07,800,42,0.5
1.4117e-07,800,43,0.5
1.082e-07,800,44,0.5
8.3242e-08,800,45,0.5
6.4274e-08,800,46,0.5
4.9803e-08,800,47,0.5
3.8723e-08,800,48,0.5
3.0208e-08,800,49,0.5
2.3641e-08,800,50,0.5
1.7883,193.79,1,1
1.3228,349.25,2,1
0.94361,461.55,3,1
0.67721,541.77,4,1
0.49379,599.75,5,1
0.36637,642.38,6,1
0.2764,674.26,7,1
0.21173,698.5,8,1
0.16444,717.19,9,1
0.1293,731.79,10,1
0.10282,743.33,11,1
0.082591,752.56,12,1
0.066953,760.01,13,1
0.054732,766.06,14,1
0.045084,771.04,15,1
0.037399,775.15,16,1
0.031224,778.57,17,1
0.026225,781.43,18,1
0.022149,783.84,19,1
0.018803,785.89,20,1
0.01604,787.62,21,1
0.013744,789.11,22,1
0.011826,790.38,23,1
0.010217,791.48,24,1
0.0088594,792.44,25,1
0.0077094,793.26,26,1
0.0067309,793.98,27,1
0.0058952,794.61,28,1
0.0051787,795.17,29,1
0.0045622,795.65,30,1
0.00403,796.08,31,1
0.003569,796.46,32,1
0.0031685,796.8,33,1
0.0028195,797.1,34,1
0.0025146,797.36,35,1
0.0022475,797.6,36,1
0.0020129,797.81,37,1
0.0018063,798,38,1
0.001624,798.18,39,1
0.0014628,798.33,40,1
0.0013199,798.47,41,1
0.0011929,798.59,42,1
0.0010799,798.71,43,1
0.00097917,798.81,44,1
0.00088916,798.9,45,1
0.0008086,798.99,46,1
0.00073637,799.07,47,1
0.00067151,799.14,48,1
0.00061317,799.2,49,1
0.00056061,799.26,50,1
0.89302,127.23,1,5
0.60411,200.13,2,5
0.4574,252.54,3,5
0.36679,293.43,4,5
0.30483,326.83,5,5
0.25968,354.95,6,5
0.2253,379.13,7,5
0.19826,400.25,8,5
0.17645,418.95,9,5
0.1585,435.67,10,5
0.14348,450.75,11,5
0.13075,464.44,12,5
0.11983,476.96,13,5
0.11037,488.46,14,5
0.1021,499.07,15,5
0.094814,508.91,16,5
0.088359,518.06,17,5
0.082602,526.6,18,5
0.07744,534.6,19,5
0.072788,542.11,20,5
0.068579,549.17,21,5
0.064753,555.84,22,5
0.061264,562.14,23,5
0.058071,568.1,24,5
0.055139,573.76,25,5
0.05244,579.14,26,5
0.049947,584.25,27,5
0.04764,589.13,28,5
0.0455,593.79,29,5
0.043509,598.24,30,5
0.041655,602.49,31,5
0.039923,606.57,32,5
0.038304,610.48,33,5
0.036786,614.24,34,5
0.035362,617.84,35,5
0.034023,621.31,36,5
0.032763,624.65,37,5
0.031575,627.87,38,5
0.030454,630.97,39,5
0.029394,633.96,40,5
0.028391,636.85,41,5
0.02744,639.64,42,5
0.026539,642.34,43,5
0.025683,644.95,44,5
0.02487,647.48,45,5
0.024096,649.92,46,5
0.023359,652.3,47,5
0.022657,654.6,48,5
0.021987,656.83,49,5
0.021347,658.99,50,5
0.66804,101.02,1,10
0.45236,155.46,2,10
0.3471,194.94,3,10
0.28276,226.21,4,10
0.23879,252.16,5,10
0.20663,274.36,6,10
0.182,293.74,7,10
0.16248,310.92,8,10
0.14661,326.35,9,10
0.13344,340.34,10,10
0.12234,353.11,11,10
0.11285,364.86,12,10
0.10463,375.72,13,10
0.097461,385.82,14,10
0.091142,395.24,15,10
0.085533,404.07,16,10
0.080522,412.37,17,10
0.076018,420.19,18,10
0.071949,427.59,19,10
0.068256,434.59,20,10
0.064888,441.25,21,10
0.061807,447.58,22,10
0.058976,453.62,23,10
0.056367,459.38,24,10
0.053956,464.9,25,10
0.051722,470.18,26,10
0.049645,475.25,27,10
0.04771,480.11,28,10
0.045904,484.79,29,10
0.044214,489.3,30,10
0.04263,493.64,31,10
0.041142,497.83,32,10
0.039742,501.87,33,10
0.038423,505.78,34,10
0.037177,509.56,35,10
0.036,513.22,36,10
0.034886,516.76,37,10
0.03383,520.2,38,10
0.032828,523.53,39,10
0.031876,526.76,40,10
0.03097,529.91,41,10
0.030107,532.96,42,10
0.029285,535.93,43,10
0.0285,538.82,44,10
0.027751,541.63,45,10
0.027034,544.37,46,10
0.026349,547.04,47,10
0.025692,549.64,48,10
0.025063,552.18,49,10
0.024459,554.65,50,10
